.#........ | ..........  -  ..#....... | ..........
.#........ | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | ..........
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ..........  -  .#........ | ..........
...####### | ..........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ..........

.#........ | ..........  -  ..#....... | ..........
.#........ | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | ..........
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......M...  -  .#........ | ..........
...####### | ..........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ..........

.#........ | ..........  -  ..#....... | ..........
.#........ | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | ..........
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......M...  -  .#........ | M.........
...####### | ..........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ..........

.#........ | ..........  -  ..#....... | ..........
.#........ | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | ..........
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.........
...####### | ..........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ..........

.#........ | ..........  -  ..#....... | ..........
.#........ | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.........
...####### | ..........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ..........

.#........ | ..........  -  ..#....... | ..........
.#........ | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.........
...####### | ..........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ..........

.#........ | ..........  -  ..#....... | ........M.
.#........ | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
.#...#.... | ...M......  -  ..#....... | ..........
.....#.... | ..........  -  .....##### | .......M..
.....#.... | ..........  -  ...#####.. | ..........
.....####. | ......MM..  -  .#........ | M.........
...####### | ..........  -  .####..... | ..........
........#. | ..........  -  .#....#... | ..........
.#......## | ..........  -  .#....#.#. | ..........

.#........ | ........M.  -  ..#....... | ........M.
.#........ | ..........  -  ..#....... | ..........
.#...#.... | ..........  -  ..#....... | ..........
