UNIT-EVI RES-T-O
DA--L FUO-CO
AL -AL
METT-E-TELA BURRO
METTET-ELA METTET-ELA
-COLLA METTETE-L-A
SI SI
COLOR--E COL--ORE
DOSE PRESO
PRE-S-O NETTARLO
QUAND-O -DURO
S-I SI
-CINQUE C-INQUE
CIPOL----LA STROFIN-ARLO
--LEVARLO PA-RMIG-IANO
CONTINU-AME-NTE E
AL AL
ASC-IUTTA ASCIUTTA
LAV-ARLO AL
C--HE -CHE
AV-RA AVR-A
TRINCIA-TE TR-INCIA-T-E
ME-STOLO AL
-BOLLE BO--LLE
NON CENTR-O
BE-N BURRO
NEL -GI-USTA
-UN RISTR-ETT-O
-BURRO BURRO
VO-LTA IL
VERSAR VE--RS-AR
PUGNO MET--A
--RESTO ---RESTO
-PE-RSONE P-ERSONE
PER A
VE-RSAR V-ERS-AR
AL COTTUR-A
VI VI
U-N S-APO-RE
PROPORZ-ION-E -PRE-SO
BASTE-RA BAS-T-ERA
SOFFRI--T-TO SOFFRITTO
-UN RISO
PR---ESO BADATE
AL A-L
-TU-TTO TUTT-O
SE FINCHE
DA-L -DAL
-M-A -NETTAR--LO
SALAT-ELO TIRATELO
IL IL
---SUC-C-HI--AT--O HO
ACQUA ACQUA
-M-ETA META
ROS-S-O ROSS-O
SUCCHIATO LEVA--R-L-O
AL-LORA A-LLORA
RA-MAIUOLO RAMAIUOLO
I I
VOLTA VOLTA
PUG-N-O VERSAR
GI-UST-A P-ARMIGIAN-O
QUANDO Q-UANDO
