F-INE -PRIMA
AL AL
NON NON
R-ISO CENTRO
ST-ROFIN-AR-LO TRI-NC-I---ATE
V-I -VI
METT-ET-ELA METTETE-LA
PRIMA PRIM--A
COTTURA --CI-POLLA
-COME ---H-O
CALDA RIMUOVETELO
-CINQU--E SOFF-RITTO
RAM-AIUO-LO RA-MAIU-O-LO
NO-N NON
DOS-E F-INCHE
LEVA-RLO L-EVAR-LO
PRIMA PRIMA
AS-CIUT-TA QUANDO
EN---TRO COTT--URA
C-OMINCIATE -C-OMINC-IAT-E
PRIMA PRIMA
U-N UN
-PRES--O -C-INQ-UE
C--I-NQ-UE -CINQUE
ALLA ALLA
COLORE COL-ORE
B-UO-N BUON
P-ISELLI S--UPERF-ICIE
CEN-TRO ASC-IUTTA
---LA LA
-SU-CCHIATO ABB-I-A
ST-ROFINARLO STR-OFINARLO
-TUT-TO T-U-T-T--O
COLLA COLL---A
-TROPPO TROPPO
MET-A META
MET-T-ETELA ENTRO
-COT-TU-RA CO-TTURA
T-RINC--IATE -TRINCI-AT-E
--EN-TR-O ENTR-O
