BE-N BEN
-ME--STOL--O -AL-TRA
-CO-LOR-E -C-OLO-RE
-V--ERSAR --LA
-SA-L-AT-ELO MESTOLO
-ALLA ALLA
DEL DEL
DA-TEGL--I DAT-EGL-I
P-RI-M-A -PRIMA
CALDA -DAT-EGLI
-CO-ME CO--ME
R-IS-O RIS-O
A PRO--P-ORZIONE
A -ACQU-A
BEN CONTI-NUAME-NTE
-A--SC-I-UTTA ASCIUTTA
IL LEV-ARLO
SAPORE S-APORE
ROSSO ROS-S-O
PISEL-LI PER
CIPOLLA CI-P-OL-LA
ACQUA GI-USTA
-LAVARLO LA--V-ARLO
-RISO -RI----SO
GIA GIA
CANOVA-CCI-O CANOVACCIO
COLORE VOLTA
LAVARLO LAVARLO
-A-LTRA ALTRA
B-U--O-N DEL
C-ANOVA--CC-IO CANO--VACCIO
DATEGLI DATE-GLI
GIA UN
FUOCO FUOC--O
FINE ALTRA
AC-QUA DATEGLI
CALDA C-ALDA
-CAN--OVACCI---O CA-NOVACCIO
PARMIGIA---N-O PARMIGIANO
COTTURA COTT-URA
ME-TA -RIS-T-R-ETTO
-PRESO PRE-SO
-DETTO DE-TT-O
UN--ITEVI DI
-META F-UOCO
--SOFFRIT-TO -SOFFR--ITTO
C-OL-ORE --CHE
-DAL COTTURA
-STROFINARLO STROFIN-A--RL-O
--LA---V-AR-LO Q-U-AND-O
--PARMIGIANO P-ARMIGIANO
CALDA -LE-VARLO
A-SCIU-TTA V-ERS--AR
REST-A R-ES-TA
U--N -COTTURA
CENTRO -U-N---IT-EVI
SAPORE SAPO-RE
CENTRO CE-NTRO
BAS-TERA LA
-ABBIA C-OMI-NC-I-A-TE
BADATE BA-D-A----TE
BADATE BA-DATE
-IL IL
S-TROFI-NA-RL-O -I-L
BASTA --P--ERSONE
BEN B-EN
PE-R IL
P-ERSONE GIA
IL I-L
QUA-NDO Q-UA-N-D-O
SOFFR--ITTO SOFFRITTO
DAT-E-GL-I QUA-NDO
L-UNET--TA DEL
-CA-NOVACC-IO SAPO-RE
UNI-TE-V--I M-ETTETELA
C--ONVIENE METTETELA
ABBI-A -Q-U-EST-A
COTTURA COTTURA
-DEL CONTIN-UAMENTE
VERSAR C-HE
S-E RESTO
CIN-QUE CIN-Q-UE
REST-O --R-OSS--O
R--OSS-O ROSS-O
-BU-ON BU-ON
T-IRAT-E-LO PER
UNIT-E-V-I -LA
DETTO FU-OCO
B-OLLE AGGIUNG-END-O
----PER P-E-R
-IN -I-N
PI-SE-LL-I AL-L-A
AGGIUNGE-N-DO -AGG-IUNG-ENDO
