-ALTR--A STROFINARL--O
TROPP-O CONVIEN--E
-RAM-A-I--U-OLO PRIMA
-SFARINA S-FARINA
PI-SELL-I P-ISELLI
ALLORA ALL-OR-A
-GIUSTA S-FA-RI-N-A
HO AL
A A
-VERSAT-E V-ERSATE
B-UON BUON
AL -N-ETTA-RLO
RIS-TR-ETT-O CI--P--OL--LA
COM---INCIATE COMI-NC--IA-T-E
C-HE CHE
U-NI-TE-VI S-E
-PRIMA -STRO-FINA-RLO
DEL DEL
RIMUOVETELO U-NITEVI
TUTT--O -TU-TT-O
-BU-ON BUON
P--IS--ELLI P--ISELL-I
SI -CO-NVI-ENE
DI PUGN-O
-M-E-ST-O-LO PR-O-PO-R-ZIONE
VOLTA V--OLTA
TROPPO --TROPP-O
METTE-TELA -CO-TT-URA
R-IMU--OV-E-TELO SFARIN-A
A-VRA DAL
BAS-TERA BAS-TERA
UNIT--EVI UN-ITEVI
DETTO DET-TO
--H-O -HO
A-GGIU-NGENDO AG-GIUNGE-N-DO
C-A-NOVACCI--O VERS-AR
UNI-T--EVI DI
FUO-C-O -F-I-NE
FI-N--E COTTU-RA
