-AS-CIUTT-A AS-C-IUTTA
ABB-IA DEL
BE--N U-N
DA-TEGLI C-ON
CHE -DETT--O
SUPE-R-FICIE L--UNETTA
CIPOLL---A -CIPOLLA
NEL COL--O--RE
--SALAT-ELO SALATELO
E ---FUOCO
--SE TUTTO
COLLA COL-LA
RI-STRETTO RIS-TRETTO
ABB-IA -AB--BI---A
IL COL
BA-STERA CEN-TRO
SUP-ER-FIC-IE SU-PERF---I-CIE
-QUANDO QUANDO
DETT-O FU-O-CO
TUT-TO TUT-TO
VI VI
DEL DEL
RESTO RESTO
DETTO UNITEVI
BE-N STROFINARLO
CALD-A -RI-STRETTO
B-UON BUON
VERSATE VE-RSAT-E
PE-R PER
-L-EVARLO L-EV-AR-LO
SAPORE G--IA
M-ETA PAR--MIGIA-NO
PRIMA PRIM-A
DET-T-O IN
NETTARLO NETT-ARLO
SI --SFARINA
UNIT-E-VI C--ALDA
-SFARINA FINCHE
DOSE NON
SE NON
RAMAIU-OLO RAM-AIUO-LO
N--O-N NON
HO HO
CONV-I-ENE --CO---NVI--E-N-E
VI VI
-UNITEVI -U-NI-TEVI
DOSE SUCC-HIATO
NE-TTARLO PRE-SO
RAMA-I--UOLO -R--AM-AIUOLO
ASC-IUTT---A ASCIU-TTA
NE-L NEL
-CALDA CALDA
SALAT-E---LO V-I
PERSONE -RIMUOVETELO
VOLTA V-OLTA
-S--FARINA -SFAR-INA
SI I-L
ROSSO RO-SSO
VERSATE VERSATE
RISTR-ETTO R-ISTR-E-TTO
CALDA CALDA
BUON BUON
P-ER PER
-DI -COLLA
PRIMA DA--TEGLI
--TR-IN-CIATE PARMIG-IANO
COM-E BUO-N
-I BUO-N
MA AS--C-I-U-TTA
RISTRETTO RISTRETTO
-SU-P-E-R--FICI--E AGGIUNGEN-D-O
C-OLLA LA-VA-RLO
ROSSO ROSSO
F-INCHE A
