IN PER
ABBI---A ABBIA
SU--P-ERF-ICIE CIPOLLA
SUPERFICIE SU-PERF-ICIE
BADATE BAD-A-T-E
TIRATELO TIRATE-LO
-COTTURA -COTTU-RA
L-A UN
A-CQU-A ACQUA
-TRIN-C-IATE -CON
COMIN-CIATE -CO-MI-N-CIA-TE
RI-STRETTO RI-STR--ETT-O
-AGGIUNGENDO AGGIU--NGEN-D-O
-RESTA -RESTA
CA-L--DA CALDA
ME-TA L-A
F-INCHE FIN-CHE
DETTO Q-UANDO
P--I-SE--L-L-I PISELLI
R-IS-T-RE-TTO RIMUOV-ETELO
GIU--STA GI-US---TA
COLOR-E TUTT-O
-RAMAIUO-LO RA-MAIUOLO
BEN BEN
COT-TU-RA SE
FI-NC-HE FIN-CHE
STROFINARLO STROF-INAR-L--O
RISO RIS-O
BAST-E-RA CO-ME
C-OTT-UR-A CO-TTU-R-A
NET-TAR-LO N-ETTARL--O
I-N IN
SU-PE-RFICIE CALDA
PRI-MA PRIMA
ALT-RA -VERSATE
N-E-T-TARLO ---NETTARLO
-SA-LAT-ELO SALAT-ELO
LUNETTA -LU--N--ET-TA
ASC-IUTTA -PRESO
RAMAI-UOLO LAVARLO
VI VI
DAL BEN
ASCI--UT-TA ASCIU-TTA
CON R-ESTO
ASCIUTTA D-ETTO
-BUON BUON
-SUCCHIATO SUCC-H--I-ATO
ENTRO I
-HO I
CINQUE D-ETTO
C-OME LA
P-R-ESO PRESO
COTTURA COTT-UR-A
-CONTINU-AM--ENTE C-O--NTI-NUAMENTE
STROFINA-RLO CO-T-TUR-A
Q-UANDO BUON
I I
UNIT--EVI DUR---O
COM-E -CO-ME
SUCCHIATO SI
TIRAT-ELO -CIPO-LLA
PER-SONE -SE
B-A-STERA B--ASTERA
ALTR-A VERSATE
