-U-NIT-EV-I UNITEVI
SOFFRITTO S-OFFRITT-O
P-RESO TRO-PPO
RAMAIUOLO FINCHE
-E E
AL CO-LL-A
PERSONE ---PERS-O-NE
LEVA-RL-O LEVA-RLO
PR--E--SO PRE-SO
P-ER METTE-TELA
ST-ROFIN-ARLO STROFINA-RLO
P--RE-SO -A-VRA
--PER---SONE -PERSONE
RESTO -UN
-C-OL COLORE
-C-OMINCIAT-E -COM-INCIATE
GI--USTA -GIUST-A
-BUO-N -AVRA
-C-OL BUON
B-OLLE -B-OL--LE
ST-ROFINA-RLO A-LLA
-NEL VOLTA
C--ON-VIENE CONVI-ENE
ME-TA PI-SE--LLI
LA-VARLO -LAV-ARLO
-VOL--TA SAPOR-E
Q-UAND-O QUANDO
-BOLLE R-ISO
-P-I-SELLI A-L
-BAD-A-TE D--AL
FUOCO B-EN
AL C-OL
NET-TARLO ENTRO
EN-TRO UNI-T-EV-I
I ROSSO
A-GGIUNGENDO VERSATE
PERS-O-NE P-ERSO-NE
EN--TRO VERS-A-R
CO--L COL
-SU-CCHIATO A-LLOR-A
C-O---N SUC-C--HIATO
-CALD-A HO
-SALATE-LO -SALATELO
AL--L--A --ALLA
SOF-FRITTO SOFFRIT-T-O
NE-TT-ARLO BU-RRO
FI-NE QU-ESTA
HO HO
RISTRETTO RIMUOV-ETELO
VE-RS-AR ENTRO
SI I
B--AD-AT-E B-ADATE
DAL A--LTRA
-BEN B-EN
-AL ALLA
MET-TETELA A-CQUA
P-ER--SONE S-FARIN-A
NE-L NEL
-VI CON--TINU-A-ME--NTE
ABB-IA -STRO-FINARL-O
BADA-TE PUGNO
A PRESO
P-ISELLI CA-LDA
SUCCHIATO SUCCHIAT-O
CA--N-OVA-CCIO C-A-NOVA--CCIO
