SAPO--R-E SA-PORE
NEL NE--L
VI PU--G-NO
RISO TU--T--T-O
FINC--HE CALDA
AV-R-A AVRA
MA STRO--FINAR-LO
I T-RINCIA-T-E
LA PRO-PORZIONE
-ALLA CHE
F-IN-CH-E FIN-CHE
CO-L-ORE UNITE-VI
-C-IPOL-LA C-IPO-LLA
HO ABBI--A
I I
L-UNE-TTA -LUN-E--TT-A
CO-MINCIATE C-OMINCIA-T-E
V---O-LTA VOLTA
SAP--ORE SAPOR-E
CANOVAC-C-IO CA-NO-VAC-CI-O
C-IPOLLA CIPO-LLA
SE P-I-SE--LLI
FINE FI-NE
NETTARL-O BASTA
CO-NVIEN-E -RESTO
VER--S-ATE VE-RSATE
ABBIA BURRO
PARMIGIANO PAR-MI-GIA-NO
CHE CHE
FINE FI--NE
VOLT-A VOLT-A
ACQUA -R-ISO
DURO DURO
BURR-O PE-R
VOLTA VOLTA
COTTURA CHE
-SALA-TELO SAL--ATE-LO
F-UOCO T--ROPPO
S-UP-E--R-FICI-E SUP-E-RFICIE
TROP-PO REST-O
VE-RSA-R E
A A
-P-RIMA P--RI-MA
D-ETTO DETT-O
COME E
TR-INCI-ATE T-R--I-NCIAT-E
DOSE ---ALLA
COLORE COLORE
-SALATELO --SALATELO
RIM--U-OVETELO -RIM-UO-VET--ELO
I-L -----PRIMA
S--I -SI
M-ESTO-LO -MES--TOLO
LU-NE--TTA DURO
SUCCH-IATO COMINC-IATE
IN IN
MESTOL--O MESTOLO
C-ANO----VACCI-O CINQUE
TROPPO T-ROPPO
NON NON
-DI DI
BASTERA BA-STERA
C-OL -RIS-O
A RAMA-IU-OL-O
BADATE RISO
M---ESTOL-O NE-TTAR-LO
