PA-R-MIGIANO BA-STA
BASTERA AL--L-A
M-E--T-T-ETE--LA METT-ETELA
DETTO -DET-TO
--IN COMINCIATE
-R--OSSO ROSSO
FI--NC-HE RAMAIU-OL-O
TRI-NCI--AT-E --T-RINCIA-T-E
VI V-I
T-UTT-O DI
PRES-O RIMUOVETELO
VERS-AT-E VERS-A-T-E
-QUESTA QUESTA
BURRO ---GIUS-TA
-SALAT--ELO -C-I-NQUE
-CINQ--UE -C-I-NQU-E
DURO RAMAIUOL---O
--I P--RESO
NEL NE-L
UN UN
BAS--TERA BAS-TERA
N-E--L NEL
PRIMA ROS-S-O
ME-T-TE-TE-LA COM-INCI-ATE
AL--L--ORA I
B-EN H-O
RAM-AIUOL-O CIPOLL-A
VE-RSA-TE BUON
CIP-OLLA CIPOLLA
ALLA SE
BA-STERA BA-S-TE-RA
---S-F-ARINA C-OME
-METT--ETE--LA METT-ETELA
SA-PO-RE MES-TOLO
-FI-NE SU-PE---RFICIE
RISO CONTINUAMENT-E
NETTAR-LO C-INQ-UE
E-NTRO BASTA
CAL-DA CA-LDA
S-T-ROF--INARLO T-R-INC-IA--TE
BUON -FINCHE
RAMAI-UOLO S--A-PO-RE
B-OLLE DURO
BASTERA BA-STERA
BADATE --BADAT-E
UN U-N
-COLLA COL-LA
LEVA-RLO L-E-VA-RLO
NETT-ARLO NETTAR-LO
R-E-ST-A RESTA
CHE CH---E
CINQUE SALATE---LO
-C-OLO-RE COLORE
RIS-TRETTO -D--ATEGLI
B-O-LLE CO-ME
D-OSE CALDA
ALTR-A A-L-TRA
-DURO CANO-VACCIO
A-CQUA AC-QU-A
TUTTO T-U--TTO
C-I-NQUE C--INQ--UE
F-I-NE FINE
DI DI
--ACQUA SE
RISO DA-L
